Fecha;Adelantos;Documentos;Hipotecarios;Otros;Personales;Prendarios;Tarjetas
2020-10-30;273846;635573;213064;161835;425810;95793;795668
2020-11-02;279484;633464;213046;162981;429177;96555;794012
2020-11-03;277881;628994;212893;165935;428895;96701;799540
2020-11-04;273810;629931;212616;166476;429066;97091;793169
2020-11-05;272085;633068;212588;166801;428330;96600;787106
2020-11-09;275826;633849;212571;165990;428713;97151;774586
2020-11-10;279122;632111;212386;166134;428924;96808;780579
2020-11-11;279460;632338;212303;164382;429791;97694;762533
2020-11-12;283136;631927;212328;163708;430701;97923;763119
2020-11-13;273239;636034;212586;163318;431554;98249;765669
2020-11-16;278812;635750;212564;164307;432223;98213;770857
2020-11-17;279011;633835;212731;166405;433113;98393;782811
2020-11-18;278460;633962;212894;166049;434376;98561;786884
2020-11-19;279044;635210;212980;168645;435177;98896;793574
2020-11-20;273847;636832;213008;168217;435990;99208;800859
2020-11-24;273921;634563;213068;167103;437048;99777;812719
2020-11-25;272041;631252;213129;167230;439812;99817;828023
2020-11-26;279084;633063;213221;168355;440131;100080;839574
2020-11-27;278102;635233;213378;163436;440067;100560;846456
2020-11-30;272867;636168;213823;166801;436344;101034;848837
2020-12-01;279995;631050;213563;170816;439551;101210;856219
2020-12-02;276351;631047;213538;171526;439803;100785;853153
2020-12-03;275723;633312;214237;171288;439748;101047;840562
2020-12-04;275537;639057;214199;171435;439528;101917;835272
2020-12-09;292935;638463;214081;171213;439762;101496;812356
2020-12-10;299938;638336;213914;171037;440153;100799;819871
2020-12-11;291341;638333;214697;171218;440930;101473;807808
2020-12-14;286544;640624;214719;171259;441627;101550;804183
2020-12-15;288567;640268;214286;171193;442093;101289;820253
2020-12-16;284557;641446;214499;174164;442743;101637;827236
2020-12-17;283839;644341;214561;175447;443328;102089;834331
2020-12-18;281582;646932;214809;177740;444161;102329;839742
2020-12-21;284949;649086;214886;179281;444966;102753;848145
2020-12-22;277169;651826;214811;177444;447417;102947;858964
2020-12-23;274202;653397;215225;176945;447885;103856;868666
2020-12-28;282047;654187;215267;176029;448203;104150;883243
2020-12-29;267500;654249;215492;176021;448285;104719;904468
2020-12-30;261200;656631;215741;174454;444014;108278;920943
2021-01-04;281908;650199;216134;175754;446500;107927;917340
2021-01-05;277720;644154;216087;174999;446681;107062;916898
2021-01-06;273195;641986;216267;174760;446303;107094;900160
2021-01-07;277939;642832;216210;175918;445904;107494;897681
2021-01-08;281425;644856;216295;176090;446337;107596;890232
2021-01-11;308648;646061;216223;175404;446540;107456;860114
2021-01-12;302417;643968;216227;174238;447212;107695;869474
2021-01-13;299445;645506;216319;173859;447875;108096;851077
2021-01-14;296631;646840;216328;174049;448543;107507;847462
2021-01-15;298166;649558;217124;172617;449231;107633;851401
2021-01-18;309259;646351;217297;171843;450403;107979;860858
2021-01-19;305546;644943;217342;171490;451481;108336;871956
2021-01-20;304526;642047;217580;171738;452055;108361;875998
2021-01-21;307846;642376;217581;173249;452745;108787;882510
2021-01-22;306188;645647;217801;176285;455509;108882;889176
2021-01-25;308700;647331;217862;177917;456557;109372;899579
2021-01-26;304837;646860;218097;176365;457353;109536;913876
2021-01-27;303119;647718;218188;176438;457655;109844;921688
2021-01-28;301716;647999;218249;180634;457853;110892;928214
2021-01-29;298447;651613;218938;179021;453630;112124;914597
2021-02-01;305696;649257;218653;181080;457135;112633;929949
2021-02-02;307529;643207;218769;180482;457617;111831;932696
2021-02-03;299608;643732;218769;182150;458401;112259;908421
2021-02-04;302096;645621;218861;183385;458284;112619;901225
2021-02-05;301767;647852;219336;181330;458877;112748;901628
2021-02-08;302117;646574;219430;180638;459625;112420;880294
2021-02-09;303613;645435;219598;180345;460721;112509;881594
2021-02-10;302219;648712;219168;178985;461600;112310;861846
2021-02-11;303444;649692;218929;178543;462487;112449;860370
2021-02-12;304067;652471;219219;177187;463451;111936;862791
2021-02-17;318746;650838;219162;176779;465029;111822;870557
2021-02-18;310957;645736;219953;176317;466059;113516;887054
2021-02-19;310634;648208;220295;177664;467108;114698;883679
2021-02-22;306688;648051;220227;179191;468291;113911;892766
2021-02-23;307450;646857;220300;179809;468973;114146;914272
2021-02-24;308060;647838;220530;179073;469807;114307;917527
2021-02-25;308210;649003;220483;180569;470672;115839;922998
2021-02-26;305036;653031;221501;182695;468685;115739;915819
2021-03-01;311215;649649;220888;182501;471813;116784;936767
2021-03-02;302823;646394;220840;183833;472618;116792;953200
2021-03-03;293017;645823;221015;183136;472297;117291;944581
2021-03-04;296076;648342;221102;182594;472068;117624;929959
2021-03-05;285611;651394;221659;182024;472647;117630;933441
2021-03-08;287888;649124;221718;180474;473596;117922;923605
2021-03-09;289053;651869;222218;179500;474641;117394;929631
2021-03-10;289329;655222;222109;179329;475283;117591;911026
2021-03-11;289828;656709;222396;179184;476179;117792;924009
2021-03-12;289025;658344;223015;177327;477533;118155;924801
2021-03-15;296329;656774;223041;176378;478409;118282;906255
2021-03-16;290703;655303;223122;176090;479904;118479;911507
2021-03-17;287244;654424;223747;175890;481173;118902;890995
2021-03-18;279415;655835;223974;177218;482298;119399;889672
2021-03-19;273981;660456;224000;177009;483391;119959;894624
2021-03-22;279788;654836;224583;175325;484885;120650;904724
2021-03-23;273274;656169;224850;176606;485951;121163;918308
2021-03-25;270009;656711;225088;177349;487221;121448;922982
2021-03-26;267032;658443;225731;179791;488378;121877;932252
2021-03-29;265106;658350;226239;181161;489259;122498;945599
2021-03-30;260408;657637;226556;181839;490017;123497;960489
2021-03-31;255432;658316;228227;183559;488508;124366;948496
2021-04-05;278891;653928;227582;182085;491076;124263;957846
2021-04-06;269480;649650;227585;184134;491176;124466;965023
2021-04-07;258829;649932;227521;183803;492689;124369;951783
2021-04-08;257428;652111;227559;184510;493536;124629;939252
2021-04-09;261383;655985;227815;183450;494701;124876;931610
2021-04-12;266566;655400;227821;182735;495480;124830;913896
2021-04-13;268783;649153;227807;182135;496398;125122;914424
2021-04-14;267371;649402;228086;180787;497796;125331;899355
2021-04-15;269023;650706;228156;180519;498914;125679;899548
2021-04-16;273069;651308;228427;180663;500157;125972;901853
2021-04-19;268576;648277;228411;180126;501498;126703;909783
2021-04-20;267997;644510;228587;180501;502357;127059;924455
2021-04-21;267546;642881;228610;180225;503524;127506;927958
2021-04-22;263354;645928;228776;179199;504351;127845;933062
2021-04-23;261335;649305;228958;185258;502804;128292;939220
2021-04-26;260055;649602;228947;185428;503857;128784;947331
2021-04-27;258446;648035;229023;187138;504883;129147;965125
2021-04-28;252508;648645;229498;186782;505473;129788;971820
2021-04-29;250268;653877;229861;187827;505602;130616;975133
2021-04-30;241916;657765;230289;189025;504848;130918;969347
2021-05-03;257119;651673;230646;190340;505748;132234;965815
2021-05-04;258181;648587;230653;191722;506186;131565;972599
2021-05-05;251256;651871;230680;191023;506544;131587;936811
2021-05-06;256108;654054;230755;191320;506073;131761;922635
2021-05-07;262307;656827;231043;193002;506796;131884;932249
2021-05-10;270004;658884;231168;192009;507286;131708;901560
2021-05-11;270045;656159;231100;192243;508140;132343;919436
2021-05-12;267819;657052;231040;192139;509348;132643;904348
2021-05-13;262394;657919;231187;191902;510540;133053;904218
2021-05-14;262735;659408;231560;191573;511210;133497;912850
2021-05-17;269182;653606;231578;190460;512264;133765;921120
2021-05-18;267243;650026;231762;190989;513170;134103;937283
2021-05-19;261136;652002;232044;190400;513416;134558;939762
2021-05-20;258126;653530;232302;192610;514148;135217;944184
2021-05-21;252926;658876;232703;195154;514862;135661;949883
