Fecha;Circulante en Entidades;Circulante en Público;Cta. Cte. en BCRA
2020-09-29;189130;1486273;619889
2020-09-30;192295;1485260;716140
2020-10-01;198624;1485993;904354
2020-10-02;196859;1489218;718459
2020-10-05;186456;1502104;747064
2020-10-06;189112;1501963;761799
2020-10-07;187104;1505073;691985
2020-10-08;190526;1507796;657514
2020-10-09;194335;1507289;599569
2020-10-13;190153;1512390;638021
2020-10-14;200161;1501714;601068
2020-10-15;205444;1495145;609984
2020-10-16;207427;1491061;586954
2020-10-19;207029;1489645;597355
2020-10-20;212358;1481261;570172
2020-10-21;211959;1478503;573374
2020-10-22;214325;1473900;567537
2020-10-23;215404;1470041;594181
2020-10-26;214328;1470709;629279
2020-10-27;219281;1464740;555978
2020-10-28;220849;1462384;588753
2020-10-29;222447;1461760;562415
2020-10-30;221985;1463019;540057
2020-11-02;212262;1473935;653867
2020-11-03;216806;1473272;648235
2020-11-04;222624;1472832;643094
2020-11-05;222364;1475634;662227
2020-11-09;211561;1487186;750413
2020-11-10;215329;1481514;724829
2020-11-11;215100;1479390;682011
2020-11-12;216595;1476927;730097
2020-11-13;218258;1474527;653741
2020-11-16;216683;1475429;674709
2020-11-17;220938;1469383;667504
2020-11-18;224213;1465025;668697
2020-11-19;224845;1462659;613272
2020-11-20;226365;1459855;612476
2020-11-24;224108;1462618;630693
2020-11-25;237360;1455593;605371
2020-11-26;241021;1453421;614793
2020-11-27;247572;1452819;635600
2020-11-30;242336;1462834;522105
2020-12-01;244417;1463489;640179
2020-12-02;247796;1468456;665426
2020-12-03;255777;1474527;643045
2020-12-04;255983;1482486;643265
2020-12-09;237857;1509153;752277
2020-12-10;252201;1503462;742352
2020-12-11;251766;1506565;694860
2020-12-14;244015;1517461;638172
2020-12-15;251979;1514376;590931
2020-12-16;253893;1518273;573537
2020-12-17;250496;1528156;621997
2020-12-18;245210;1542983;645101
2020-12-21;229763;1577932;636012
2020-12-22;239278;1594989;644396
2020-12-23;247372;1611004;544419
2020-12-28;256819;1630606;658012
2020-12-29;267205;1630541;683898
2020-12-30;260917;1636908;572435
2021-01-04;253703;1643841;729205
2021-01-05;255293;1639114;724878
2021-01-06;252669;1638884;767470
2021-01-07;248038;1640364;795589
2021-01-08;244564;1640597;688651
2021-01-11;238662;1643091;713186
2021-01-12;245116;1633050;722548
2021-01-13;247552;1626534;784478
2021-01-14;246567;1621868;762764
2021-01-15;248193;1614841;736546
2021-01-18;246353;1613405;705271
2021-01-19;250845;1603744;715944
2021-01-20;252293;1597538;752514
2021-01-21;252112;1593610;760694
2021-01-22;252401;1589063;776526
2021-01-25;249784;1589449;783544
2021-01-26;253944;1582716;763624
2021-01-27;255491;1579605;728447
2021-01-28;254671;1578591;759686
2021-01-29;248878;1582193;650239
2021-02-01;240308;1590832;773238
2021-02-02;241344;1589260;775600
2021-02-03;240985;1589783;779977
2021-02-04;241355;1592192;765897
2021-02-05;236197;1598191;751992
2021-02-08;226534;1610532;797370
2021-02-09;236086;1603526;748805
2021-02-10;245266;1598981;746762
2021-02-11;255765;1594229;692909
2021-02-12;260193;1589753;665333
2021-02-17;260583;1588816;905219
2021-02-18;269240;1576191;854118
2021-02-19;267874;1570635;871919
2021-02-22;261808;1570473;821560
2021-02-23;263500;1562920;730035
2021-02-24;264328;1559760;699120
2021-02-25;262500;1558294;665033
2021-02-26;256972;1562530;589384
2021-03-01;240464;1578312;693697
2021-03-02;240237;1577174;691134
2021-03-03;239143;1578626;812364
2021-03-04;238949;1582587;816959
2021-03-05;232568;1590212;818647
2021-03-08;216919;1606446;773507
2021-03-09;220045;1602473;752096
2021-03-10;223773;1598964;812059
2021-03-11;227777;1596009;753556
2021-03-12;230530;1592457;726942
2021-03-15;229459;1591547;722809
2021-03-16;235561;1581826;642369
2021-03-17;238068;1576174;629256
2021-03-18;236697;1573180;617430
2021-03-19;232670;1571553;650345
2021-03-22;226758;1574964;664653
2021-03-23;231699;1567783;647551
2021-03-25;234574;1564853;694771
