Fecha;Variacion;sma30
2010-12-16;36,5054865495348;39,7798528237969
2010-12-17;37,9572764185063;39,683210592907
2010-12-21;38,5228757740116;39,5791346359876
2010-12-22;38,275588399059;39,4718103901667
2010-12-23;37,8871893771954;39,3793124761797
2010-12-28;37,4518886890289;39,295246191868
2010-12-29;37,6012341832593;39,2075991035383
2010-12-30;40,5190699585309;39,2302569707578
2010-12-31;-9,41073806307416;37,5853868495986
2011-01-04;40,7202244946867;37,6234244081728
2011-01-05;40,5838722538193;37,6563053608939
2011-01-06;40,4557230236622;37,6916054160509
2011-01-07;40,0945258386008;37,7153301303651
2011-01-11;40,3129979736611;37,7430995561233
2011-01-12;40,2573006661041;37,7606976837036
2011-01-13;39,9251858229987;37,7777511677409
2011-01-14;39,9847727424052;37,8067182519332
2011-01-18;39,7233426843068;37,7714595599944
2011-01-19;39,7995380819803;37,7479876322127
2011-01-20;39,7493924020716;37,7302752111581
2011-01-21;39,7421904006976;37,7559370021435
2011-01-25;39,5886469077571;37,7946927592015
2011-01-26;39,0684407177989;37,7612804937478
2011-01-27;38,2964235811113;37,6895880073224
2011-01-28;38,5935092536552;37,6112863234049
2011-02-01;37,5669138345155;37,4957821638528
2011-02-02;38,0639487659363;37,4109488347665
2011-02-03;37,5883698688817;37,3063865394333
2011-02-04;37,4404873759446;37,3219828701919
2011-02-08;37,9479244166426;37,3604534131097
2011-02-09;38,2822282097809;37,4196781351179
2011-02-10;38,0155126176033;37,4216193417544
2011-02-11;37,9233347540893;37,4016346410903
2011-02-15;38,0006754166585;37,3924708750103
2011-02-16;37,9717673890724;37,3952901420729
2011-02-17;38,031057242877;37,4145957605345
2011-02-18;38,1732024846662;37,4336613705814
2011-02-22;40,1233790987339;37,4204716752548
2011-02-23;39,6339898229596;39,0552959381226
2011-02-24;40,2296507017032;39,0389434783565
2011-02-25;40,893960987568;39,0492797694815
2011-03-01;40,118818357987;39,038049613959
2011-03-02;40,5264072046543;39,0524456594941
2011-03-03;41,6768718936731;39,0979081234945
2011-03-04;41,5279392013666;39,1402627413366
2011-03-09;42,7866856919249;39,2356460703008
2011-03-10;43,0648488842539;39,3383152750291
