Fecha;Posicion;Interes Abierto
2021-06-28;2021-08-31;291896
2021-06-28;2021-09-30;246338
2021-06-28;2021-10-31;199553
2021-06-28;2021-11-30;314027
2021-06-28;2021-12-31;132826
2021-06-28;2022-01-31;38952
2021-06-25;2021-08-31;280407
2021-06-25;2021-09-30;238706
2021-06-25;2021-10-31;193643
2021-06-25;2021-11-30;308177
2021-06-25;2021-12-31;133046
2021-06-25;2022-01-31;35930
2021-06-24;2021-08-31;276858
2021-06-24;2021-09-30;249000
2021-06-24;2021-10-31;194157
2021-06-24;2021-11-30;307296
2021-06-24;2021-12-31;132620
2021-06-24;2022-01-31;40930
2021-06-23;2021-08-31;273438
2021-06-23;2021-09-30;241513
2021-06-23;2021-10-31;191913
2021-06-23;2021-11-30;298978
2021-06-23;2021-12-31;132752
2021-06-23;2022-01-31;39930
2021-06-22;2021-08-31;258248
2021-06-22;2021-09-30;241397
2021-06-22;2021-10-31;186889
2021-06-22;2021-11-30;287265
2021-06-22;2021-12-31;137595
2021-06-22;2022-01-31;39904
2021-06-18;2021-08-31;267901
2021-06-18;2021-09-30;238894
2021-06-18;2021-10-31;182473
2021-06-18;2021-11-30;286027
2021-06-18;2021-12-31;139898
2021-06-18;2022-01-31;40052
2021-06-17;2021-08-31;264904
2021-06-17;2021-09-30;235869
2021-06-17;2021-10-31;183178
2021-06-17;2021-11-30;277628
2021-06-17;2021-12-31;140759
2021-06-17;2022-01-31;40123
2021-06-16;2021-08-31;262786
2021-06-16;2021-09-30;233606
2021-06-16;2021-10-31;186406
2021-06-16;2021-11-30;267325
2021-06-16;2021-12-31;135768
2021-06-16;2022-01-31;39607
2021-06-15;2021-08-31;253675
2021-06-15;2021-09-30;233290
2021-06-15;2021-10-31;178908
2021-06-15;2021-11-30;260447
2021-06-15;2021-12-31;135690
2021-06-15;2022-01-31;39607
2021-06-14;2021-08-31;254801
2021-06-14;2021-09-30;250293
2021-06-14;2021-10-31;190303
2021-06-14;2021-11-30;256170
2021-06-14;2021-12-31;133191
2021-06-14;2022-01-31;45902
2021-06-11;2021-08-31;249787
2021-06-11;2021-09-30;253018
2021-06-11;2021-10-31;190793
2021-06-11;2021-11-30;253936
2021-06-11;2021-12-31;133054
2021-06-11;2022-01-31;45628
2021-06-09;2021-08-31;236432
2021-06-09;2021-09-30;235890
2021-06-09;2021-10-31;194499
2021-06-09;2021-11-30;243041
2021-06-09;2021-12-31;132534
2021-06-09;2022-01-31;45280
2021-06-08;2021-08-31;234244
2021-06-08;2021-09-30;238789
2021-06-08;2021-10-31;189787
2021-06-08;2021-11-30;226239
2021-06-08;2021-12-31;129496
2021-06-08;2022-01-31;44250
2021-06-07;2021-08-31;228894
2021-06-07;2021-09-30;234260
2021-06-07;2021-10-31;187683
2021-06-07;2021-11-30;219773
2021-06-07;2021-12-31;126481
2021-06-07;2022-01-31;41501
2021-06-04;2021-08-31;229043
2021-06-04;2021-09-30;216769
2021-06-04;2021-10-31;186494
2021-06-04;2021-11-30;220514
2021-06-04;2021-12-31;124477
2021-06-04;2022-01-31;38763
2021-06-03;2021-08-31;222164
2021-06-03;2021-09-30;219378
2021-06-03;2021-10-31;186336
2021-06-03;2021-11-30;219172
2021-06-03;2021-12-31;124477
2021-06-03;2022-01-31;38763
2021-06-02;2021-08-31;218018
2021-06-02;2021-09-30;219858
2021-06-02;2021-10-31;173618
2021-06-02;2021-11-30;215839
2021-06-02;2021-12-31;124123
2021-06-02;2022-01-31;38753
2021-06-01;2021-08-31;219203
2021-06-01;2021-09-30;217344
2021-06-01;2021-10-31;181247
2021-06-01;2021-11-30;212210
2021-06-01;2021-12-31;126978
2021-06-01;2022-01-31;38753
2021-05-31;2021-08-31;211993
2021-05-31;2021-09-30;218971
2021-05-31;2021-10-31;183588
2021-05-31;2021-11-30;212309
2021-05-31;2021-12-31;127003
2021-05-31;2022-01-31;37753
2021-05-28;2021-08-31;196145
2021-05-28;2021-09-30;218566
2021-05-28;2021-10-31;178718
2021-05-28;2021-11-30;211324
2021-05-28;2021-12-31;127272
2021-05-28;2022-01-31;37743
2021-05-27;2021-08-31;199909
2021-05-27;2021-09-30;211356
2021-05-27;2021-10-31;175218
2021-05-27;2021-11-30;210116
2021-05-27;2021-12-31;124221
2021-05-27;2022-01-31;31762
2021-05-26;2021-08-31;191032
2021-05-26;2021-09-30;221367
2021-05-26;2021-10-31;175625
2021-05-26;2021-11-30;202189
2021-05-26;2021-12-31;120131
2021-05-26;2022-01-31;28837
2021-05-21;2021-08-31;173441
2021-05-21;2021-09-30;215992
2021-05-21;2021-10-31;174223
2021-05-21;2021-11-30;194132
2021-05-21;2021-12-31;119920
2021-05-21;2022-01-31;34737
2021-05-20;2021-08-31;173308
2021-05-20;2021-09-30;213885
2021-05-20;2021-10-31;175223
2021-05-20;2021-11-30;195533
2021-05-20;2021-12-31;119990
2021-05-20;2022-01-31;34737
2021-05-19;2021-08-31;176738
2021-05-19;2021-09-30;209958
2021-05-19;2021-10-31;171125
2021-05-19;2021-11-30;197409
2021-05-19;2021-12-31;119845
2021-05-19;2022-01-31;34717
2021-05-18;2021-08-31;183219
2021-05-18;2021-09-30;207647
2021-05-18;2021-10-31;169283
