Fecha;Cta. Cte. en BCRA;Circulante;<NA>
2014-10-01;899456,369838144;2906434,79235204;3805891,16219018
2014-11-03;920753,971201903;2898765,21486265;3819519,18606456
2014-12-01;987322,292461966;3098518,54450189;4085840,83696386
2015-01-02;946930,293450053;3139615,27274541;4086545,56619547
2015-02-02;932156,495977309;3067155,092694;3999311,58867131
2015-03-02;931047,990399014;3021897,26005245;3952945,25045146
2015-04-01;911389,922348276;2986766,97502507;3898156,89737335
2015-05-04;917121,276344483;3012793,93554578;3929915,21189026
2015-06-01;934164,77991299;3106423,58346517;4040588,36337816
2015-07-01;939508,318476013;3259343,15187042;4198814,57834273
2015-08-03;933836,027134993;3269848,14764908;4203684,17478407
2015-09-01;932131,790291789;3238677,41201074;4170809,20230253
2015-10-01;942794,278438937;3254780,6357198;4197574,91415874
2015-11-02;1000823,04748723;3224182,16815024;4225005,21563747
2015-12-01;1171822,74674107;3301990,28832598;4473813,03506705
2016-01-04;941639,4686598;3221121,14370037;4162760,61236016
2016-02-01;705958,699625237;3068316,19734083;3774274,89696606
2016-03-01;840293,857238322;2955265,59710746;3795559,45434579
2016-04-01;791928,963783521;2799660,13540326;3591589,09918678
2016-05-02;779980,332180012;2670363,59799555;3450343,93017557
2016-06-01;918156,334970657;2637238,07214924;3555394,40711989
2016-07-01;1051511,44729208;2722485,6769395;3773997,12423158
2016-08-01;1053772,61522451;2758351,83566025;3812124,45088476
2016-09-01;1044532,26678774;2732452,6075965;3776984,87438424
2016-10-03;1034293,12306468;2718629,23909853;3752922,36216321
2016-11-01;1086850,60110045;2749742,29937898;3836592,90047943
2016-12-01;1186925,88881247;2972398,38706734;4159324,27587981
2017-01-02;1126715,39793273;3101678,82036998;4228394,21830271
2017-02-01;1149263,61216852;3059577,88801081;4208841,50017933
2017-03-01;979144,090979408;2933443,00892337;3912587,09990278
2017-04-03;990904,622254323;2848674,81612001;3839579,43837433
2017-05-02;937934,735386658;2795829,4398068;3733764,17519345
2017-06-01;973543,556652901;2852046,41713014;3825589,97378304
2017-07-03;956424,546252515;2984426,7702415;3940851,31649401
2017-08-01;950561,204911021;2971737,92903432;3922299,13394534
2017-09-01;961055,73986582;2952851,44928588;3913907,1891517
2017-10-02;937083,345313913;2976644,7494754;3913728,09478931
