Fecha;Brecha con CCL;Brecha con MEP
2020-10-08;-72,8685802962249;82,7932102976607
2020-10-09;-71,7970401038932;85,9930148463345
2020-10-12;-71,7970401038932;85,9930148463345
2020-10-13;-72,4351423622828;87,2640983835362
2020-10-14;-71,6622562220118;94,1073560101935
2020-10-15;-71,4220260033019;100,059664622019
2020-10-16;-71,9584510069219;96,1399069143294
2020-10-19;-72,7316744262158;97,7430562083492
2020-10-20;-72,3181577039687;107,223782726812
2020-10-21;-72,7199859187573;109,301479732086
2020-10-22;-71,4302948203298;108,967540365811
2020-10-23;-70,747688004047;98,7085383491268
2020-10-26;-72,6683939493902;101,013957144569
2020-10-27;-73,8436683609166;95,3890417490091
2020-10-28;-75,7707187412095;84,9917058540764
2020-10-29;-75,7147197782339;83,9632716101808
2020-10-30;-75,8844683249175;82,8618630802407
2020-11-02;-75,8978710062585;76,9398328267198
2020-11-03;-75,0515754213685;77,6569238704821
2020-11-04;-75,5104889238412;76,8464932227263
2020-11-05;-74,2886720984996;79,3823774686479
2020-11-06;-74,9346442928284;79,002453265221
2020-11-09;-73,0561531431459;78,9461076946545
2020-11-10;-69,5310539731738;78,0702444654286
2020-11-11;-70,6652985325396;83,1137735529248
2020-11-12;-66,4724823606954;77,819507787006
2020-11-13;-70,6588463405333;77,1366881965859
2020-11-16;-69,700391330268;78,6275520168868
2020-11-17;-69,1259386772666;80,0632314521824
2020-11-18;-68,7339458766581;82,0905437204108
2020-11-19;-69,4963949150078;82,5369192466947
2020-11-20;-68,7347345919516;83,1426181169066
2020-11-23;-68,7347345919516;83,1426181169066
2020-11-24;-66,0896640733619;83,2610390863594
2020-11-25;-67,3696867325008;81,5578499640282
2020-11-26;-67,408655140313;81,2249034653264
2020-11-27;-65,945894381892;79,4828922188185
2020-11-30;-67,764744151993;77,8030898524104
2020-12-01;-66,9901773751427;77,7732596578963
2020-12-02;-67,3697181288341;77,1827404417343
2020-12-03;-68,3738867143611;71,33481737579
2020-12-04;-67,4076059608124;73,9665336108768
2020-12-07;-67,4076059608124;73,9665336108768
2020-12-08;-67,4076059608124;73,9665336108768
2020-12-09;-69,3564974643602;70,0211652515996
2020-12-10;-67,8668806147574;68,2884159591192
2020-12-11;-67,8668170212703;70,0105249334399
2020-12-14;-67,7314181429002;70,1409177958199
2020-12-15;-68,1319274293712;71,8284800666175
2020-12-16;-67,8885450155107;70,9670778328901
2020-12-17;-68,1645074061582;70,1949459578826
2020-12-18;-68,5011921307553;69,8803656783282
2020-12-21;-70,151537919278;66,9391547625632
2020-12-22;-70,7210693750044;68,2188133363768
2020-12-23;-69,5941183203228;68,3690544156398
2020-12-24;-69,5941183203228;68,3690544156398
2020-12-28;-71,0494775568365;66,8553721470711
2020-12-29;-71,1664948006745;66,6694168671224
2020-12-30;-71,6200290406377;66,3620469504409
2020-12-31;-71,6200290406377;66,3620469504409
2021-01-04;-72,2985111505108;68,0195762982712
2021-01-05;-71,7750705925006;69,2905443620517
2021-01-06;-71,7002556210166;70,0629156127282
2021-01-07;-70,6601079275675;71,5773034877668
2021-01-08;-71,9116362731874;70,4521369358328
2021-01-11;-72,7227491326409;70,768427490204
2021-01-12;-73,8198334902972;69,6361179391813
2021-01-13;-74,2706235923448;69,1487798303888
2021-01-14;-73,9549092931518;69,7931634522852
2021-01-15;-74,7916647531243;69,5764912296622
2021-01-18;-74,7399988623771;68,8932243739658
2021-01-19;-75,1085564706242;68,7717024561776
2021-01-20;-76,6272972380033;68,8079509172866
2021-01-21;-78,3519672969501;68,8741154677294
2021-01-22;-76,8722618913869;68,5534950759831
2021-01-25;-77,943503578369;68,42014549733
2021-01-26;-76,1168077687143;68,7964956939621
2021-01-27;-74,6906540600947;69,1681279078925
2021-01-28;-75,2618710733963;69,5736306154337
2021-01-29;-76,0624603816568;69,3918958463582
2021-02-01;-74,9106145615666;69,3201253046844
2021-02-02;-75,1737512721025;69,69489417471
2021-02-03;-74,188600463956;70,0794649725682
2021-02-04;-73,9874654805492;70,4574200689192
2021-02-05;-74,592259879557;69,9917912812516
2021-02-08;-74,6383693154927;69,6832937300124
2021-02-09;-72,5454809445954;69,9235344095157
2021-02-10;-72,9347935994181;69,4825742039694
2021-02-11;-73,4561397684083;67,7086341995174
2021-02-12;-73,1932821089499;66,768868374087
2021-02-16;-73,1932821089499;66,768868374087
2021-02-17;-72,5544447885109;61,3017477238799
2021-02-18;-73,8985521201063;59,2101830344131
2021-02-19;-75,0299277453437;57,7521234580218
2021-02-22;-75,911471202509;55,1790967401884
2021-02-23;-76,6686531759936;56,2072260681743
2021-02-24;-75,2492931687488;57,2283355388753
2021-02-25;-74,7346062879717;58,1277454488735
2021-02-26;-74,9472385777884;58,0016245109555
2021-03-01;-74,9477225184585;59,6281054479904
2021-03-02;-76,0696876178394;62,0857523490781
2021-03-03;-75,9747613209792;61,9394581404014
2021-03-04;-74,8927432910741;60,7034739013327
2021-03-05;-75,0227463811052;61,4276831451622
2021-03-08;-75,0862402542407;61,0414972054244
2021-03-09;-76,0818406647697;60,3829482459219
2021-03-10;-75,0700717775157;59,2033106875801
2021-03-11;-74,8458533644545;58,9432013840423
2021-03-12;-74,7654595475805;59,417330776191
2021-03-15;-74,31651114538;58,7779303634561
2021-03-16;-75,018709689218;58,6706751237299
2021-03-17;-74,2298779873767;59,2887775987485
2021-03-18;-75,0355499057049;58,533807414715
2021-03-19;-74,9101684321956;57,624516639582
2021-03-22;-75,2522581790086;56,328649711891
2021-03-23;-76,2793504164921;55,8085109762549
2021-03-25;-76,7895979372298;53,95666733729
2021-03-26;-77,0189219808378;50,7360191981537
2021-03-29;-77,1893795959757;50,6467673166911
2021-03-30;-77,0255947580307;52,6678771630975
2021-03-31;-76,9794783359102;54,5773320476101
2021-04-05;-76,7837378447064;53,7433011905669
2021-04-06;-75,452356155798;55,6687638814159
2021-04-07;-75,6868249743338;55,700732477962
2021-04-08;-76,1702172336704;56,5854679886075
2021-04-09;-76,8485743521117;56,1991452694147
2021-04-12;-77,1387324756245;54,9178785184677
2021-04-13;-77,3634270365478;54,155370592385
2021-04-14;-77,3994163532246;55,1578747934312
2021-04-15;-77,4370847032198;54,9200701391172
2021-04-16;-77,3283862710865;54,9025243325077
2021-04-19;-77,4159383871273;55,359105827429
2021-04-20;-77,9193693931814;56,9699278581909
2021-04-21;-77,5748986252013;56,3493246364804
2021-04-22;-77,9413942862139;56,3307017977796
2021-04-23;-78,0196315587648;59,3165423885714
2021-04-26;-77,8630974998774;61,1068780415553
2021-04-27;-77,4790984634012;62,307132053493
2021-04-28;-76,7720469734649;62,493775191579
2021-04-29;-76,6113068811061;62,7805665140156
2021-04-30;-77,6009067100307;62,6743505140674
2021-05-03;-77,6486300351861;63,2839339502681
2021-05-04;-77,8329442184977;63,6146135407637
2021-05-05;-77,1395167283984;64,0703972196064
2021-05-06;-77,4730425344316;64,5073656754814
2021-05-07;-76,8076755344912;64,5466322390537
2021-05-10;-76,3781707267814;63,9110869013501
2021-05-11;-77,089708615855;63,0182623568708
2021-05-12;-75,938079765406;63,0155900268335
2021-05-13;-75,3469496918875;63,4965483733912
2021-05-14;-74,1705943146383;63,9374540128548
2021-05-17;-72,9557415264635;64,2851861092873
2021-05-18;-72,9288777527859;64,232846539561
2021-05-19;-73,1516877854476;66,1044750537138
2021-05-20;-72,8958888068627;66,8171163025566
2021-05-21;-73,2404042722571;67,9864622152195
2021-05-26;-73,0337827114799;67,2790354182681
2021-05-27;-72,8966914529138;67,9145795393711
2021-05-28;-72,4479634502729;68,6573322301903
2021-05-31;-72,9054010023667;69,2207096110093
2021-06-01;-71,2904784569992;69,900307362406
2021-06-02;-70,7532302596889;70,6230429762239
2021-06-03;-69,6805244952458;70,1539672519439
2021-06-04;-68,5604862707346;69,5811871035962
2021-06-07;-66,5907031798368;69,0423218799468
