"Fecha","Total","Personales","Tarjetas","Adelantos","Hipotecarios","Prendarios","Otros","Documentos"
2018-05-02,16477,0,555,327,266,330,1631,13368
2018-05-03,16518,0,571,327,267,322,1632,13399
2018-05-04,16526,0,567,329,267,323,1628,13412
2018-05-07,16514,0,568,328,267,322,1631,13398
2018-05-08,16485,0,570,329,267,313,1611,13395
2018-05-09,16504,0,535,330,267,315,1635,13422
2018-05-10,16508,0,520,328,267,315,1636,13442
2018-05-11,16515,0,498,328,268,310,1636,13475
2018-05-14,16543,0,498,328,268,299,1650,13500
2018-05-15,16585,0,518,330,271,303,1653,13510
2018-05-16,16612,0,538,330,274,310,1690,13470
2018-05-17,16597,0,555,336,274,308,1685,13439
2018-05-18,16610,0,571,339,274,306,1685,13435
2018-05-21,16597,0,580,339,275,317,1685,13401
2018-05-22,16565,0,601,338,275,316,1680,13355
2018-05-23,16574,0,607,339,278,316,1673,13361
2018-05-24,16570,0,594,339,278,316,1689,13354
2018-05-28,16518,0,566,341,278,314,1688,13331
2018-05-29,16520,0,581,342,278,313,1699,13307
2018-05-30,16589,0,603,342,277,341,1700,13326
2018-05-31,16558,0,560,342,277,342,1696,13341
2018-06-01,16587,0,590,345,277,342,1694,13339
2018-06-04,16522,0,548,335,277,351,1696,13315
2018-06-05,16465,0,542,335,277,351,1680,13280
2018-06-06,16442,0,529,330,277,353,1679,13274
2018-06-07,16430,0,493,325,278,353,1709,13272
2018-06-08,16161,0,492,332,277,125,1709,13226
2018-06-11,16396,0,475,332,277,344,1707,13261
2018-06-12,16376,0,467,332,277,340,1688,13272
2018-06-13,16308,0,431,334,276,338,1688,13241
2018-06-14,16320,0,424,335,276,328,1688,13269
2018-06-15,16329,0,411,334,275,322,1694,13293
2018-06-18,16389,0,418,331,275,322,1706,13337
2018-06-19,16410,0,431,332,275,323,1700,13349
2018-06-21,16350,0,421,332,275,324,1692,13306
2018-06-22,16129,0,428,330,276,127,1688,13280
2018-06-25,16350,0,424,327,276,342,1665,13316
2018-06-26,16307,0,416,323,277,341,1664,13286
2018-06-27,16089,0,427,329,277,126,1683,13247
2018-06-28,16088,0,412,330,280,126,1676,13264
2018-06-29,16017,0,400,331,286,127,1674,13199
2018-07-02,15963,0,376,331,287,127,1669,13173
